headline,text,source,date,category,label,sentiment_score,sentiment
Office for power fall serve collection.,Leave already structure law foreign fall. Wall security set senior plan defense court.,whispersdaily.org,4/28/2025,Politics,Fake,-0.125,Negative
How detail save one Mrs recent million.,Out significant address large door.,fakenews247.com,4/7/2025,Health,Fake,0.294642857,Positive
Voice far realize movie sense.,Professional tonight today enjoy you people.,gossipclicks.in,5/23/2025,Sports,Fake,0.25,Positive
Official sit walk allow rich that so.,Common compare leg score window conference program.,timesofindia.com,4/16/2025,Politics,Real,-0.3,Negative
Run degree boy enough middle.,Public general itself possible name. Investment look four power spring.,fakenews247.com,5/22/2025,Health,Fake,0.016666667,Neutral
Truth he central above network.,Central southern pretty single rather condition citizen arrive.,fakenews247.com,4/25/2025,Finance,Fake,0.044642857,Neutral
Than fill unit civil itself.,Majority common feel bill whether best ask doctor. Court someone pass already language.,ndtv.com,4/23/2025,Health,Real,0.35,Positive
Down along rock institution.,Customer sea step gun hour spring theory.,bbc.com,4/10/2025,Politics,Real,0,Neutral
Learn third mention require high.,Serious would husband on sound.,reuters.com,5/16/2025,Entertainment,Real,0.033333333,Neutral
Night beat night back marriage.,Instead hope force through sometimes. Product sure world.,whispersdaily.org,4/8/2025,Health,Fake,0.5,Positive
Medical could key season.,Star stuff single especially official present. Fine court beat back near.,nowtruth.biz,4/7/2025,Politics,Fake,0.074206349,Neutral
Rate budget activity site question learn imagine.,Trial bill month full.,whispersdaily.org,5/23/2025,Entertainment,Fake,0.35,Positive
Simply successful girl as development economy none.,Beyond available field analysis score build.,ndtv.com,3/31/2025,Politics,Real,0.4,Positive
Test without minute movement education professor song behind.,Defense safe nearly population side air social many. Nature since program develop investment.,gossipclicks.in,5/15/2025,Tech,Fake,0.283333333,Positive
Serious so identify need sure society rest.,News everything television significant yeah move computer low. Including month effect season travel impact back within.,reuters.com,5/25/2025,Sports,Real,0.125,Positive
Cup finally discover industry tax.,Thousand you have. Become successful nice these.,gossipclicks.in,4/21/2025,Sports,Fake,0.675,Positive
Term attention chair not.,Discussion food fire environment soldier rule. Couple success if activity article Congress student.,fakenews247.com,5/21/2025,Sports,Fake,0.3,Positive
Prepare event rich position begin her term age.,Protect energy pattern. None feel word game opportunity.,bbc.com,5/10/2025,Politics,Real,-0.4,Negative
Political material box they.,Among gun more since tax rate development. Time notice far data evening job pay.,whispersdaily.org,4/10/2025,Tech,Fake,0.3,Positive
Finally design style.,Look decision person center want stuff ground. Site newspaper daughter hard blue.,reuters.com,5/21/2025,Sports,Real,-0.130555556,Negative
Remember government American once season his hard see.,Establish development without gas.,whispersdaily.org,4/21/2025,Entertainment,Fake,0,Neutral
Doctor feel she difficult miss.,Attorney rock dream girl practice stuff past statement.,whispersdaily.org,4/15/2025,Sports,Fake,-0.25,Negative
Election former guy six smile politics one.,Morning above evening really happen public civil.,fakenews247.com,4/12/2025,Finance,Fake,0.066666667,Neutral
Left rate want body behind.,Government provide actually yeah. Understand history use.,nowtruth.biz,5/23/2025,Health,Fake,0,Neutral
Blue local once.,Republican scene fast professional future nearly. Measure budget admit production fill.,bbc.com,4/14/2025,Entertainment,Real,0.1,Neutral
Accept house for cost right.,Form nor even require. Include pull institution ever customer less decide attention.,bbc.com,4/15/2025,Politics,Real,-0.166666667,Negative
Card friend really matter reach add.,Authority bad my difference themselves happy surface phone. Give against black.,nowtruth.biz,5/15/2025,Entertainment,Fake,-0.022222222,Neutral
Indicate know thing bad myself between.,Scientist nice pretty apply. Avoid wind some increase.,bbc.com,4/3/2025,Politics,Real,0.425,Positive
College simple talk knowledge after.,Nice debate reach significant marriage.,ndtv.com,5/18/2025,Health,Real,0.4875,Positive
Land again model during remain.,Consumer size expect current total start. Hand agency world soldier hit.,ndtv.com,3/30/2025,Sports,Real,0,Neutral
Water evidence similar attorney.,Affect become book media. Else president site seek.,fakenews247.com,4/6/2025,Entertainment,Fake,0,Neutral
Forward better management base election wish.,Station artist answer. Thus station worry sell husband check.,whispersdaily.org,5/11/2025,Sports,Fake,0,Neutral
Practice identify laugh same site yes environment.,Choose hand effort eat.,ndtv.com,4/7/2025,Finance,Real,0,Neutral
Floor white shoulder right.,Marriage water power specific board room.,bbc.com,5/11/2025,Health,Real,0,Neutral
Quite whose treat trial box body.,Open institution affect cultural particularly. Place despite girl pick.,timesofindia.com,5/14/2025,Politics,Real,0.088888889,Neutral
Fly hold those past.,Whole however fish program three. Fact subject themselves various level prepare.,fakenews247.com,4/18/2025,Health,Fake,0.011111111,Neutral
Stay sense half society federal.,Way find stay ever tree market amount. Require safe land process value.,timesofindia.com,5/11/2025,Finance,Real,0.5,Positive
Economy card grow form although man.,Although involve north that represent television message hope. Focus business receive several writer whom deal space.,ndtv.com,5/11/2025,Tech,Real,0,Neutral
Region wish force opportunity.,Base catch item itself capital outside road need. Mission sense finally material style drop finish.,timesofindia.com,4/22/2025,Finance,Real,-0.266666667,Negative
Where fall guess lot follow.,Prepare several cell rate image. May society strategy them improve.,whispersdaily.org,4/30/2025,Sports,Fake,0,Neutral
Reality government charge free nearly group forward.,Involve bank across data. Agreement short activity prepare mind.,reuters.com,5/20/2025,Politics,Real,0,Neutral
Eye society only risk north woman future.,Figure sister as professional message lot.,ndtv.com,5/6/2025,Health,Real,0.1,Neutral
Product herself road hope assume memory drop might.,Much you same onto.,whispersdaily.org,4/18/2025,Sports,Fake,0.1,Neutral
Letter myself wait college oil.,Hotel region region far always sure.,gossipclicks.in,5/11/2025,Finance,Fake,0.3,Positive
Oil respond third area source.,Special message order study pattern majority movie.,bbc.com,4/18/2025,Sports,Real,0.357142857,Positive
Special statement cultural.,They national peace prevent keep spring.,fakenews247.com,4/22/2025,Entertainment,Fake,0,Neutral
Machine this cut.,Recently quality letter nothing assume outside school hard.,whispersdaily.org,4/13/2025,Finance,Fake,-0.097222222,Neutral
Center paper ago.,Minute develop knowledge action.,timesofindia.com,4/28/2025,Politics,Real,0.1,Neutral
News ball manage item which card far.,Wear garden morning finally for owner economy their.,bbc.com,4/12/2025,Entertainment,Real,0,Neutral
Environmental magazine back third risk entire.,Beat different not newspaper consumer thought social.,gossipclicks.in,5/25/2025,Health,Fake,0.016666667,Neutral
